ExtractionType,EventDescription,Start,End,Duration(s),Text_length,Aligned,EventType
Machine Learning Extracted Event,"She sits on the bed and he shrugs, challenging her.",0:46:57,0:47:02,5,51,Success,
Machine Learning Extracted Event,"SOMEONE stunned. As SOMEONE stomps downstairs, he meets two women coming up.",0:47:12,0:47:20,8,76,Fail,
Machine Learning Extracted Event,He continues down the many flights of wooden stairs.,0:47:22,0:47:28,6,52,Fail,
Machine Learning Extracted Event,he lies restlessly in bed.,0:47:36,0:47:41,5,26,Fail,
Machine Learning Extracted Event,SOMEONE lies still in her bed.,0:47:42,0:47:48,6,30,Fail,
Machine Learning Extracted Event,SOMEONE sits up in bed.,0:48:00,0:48:05,5,23,Success,
Machine Learning Extracted Event,It's still night time and raining outside.,0:48:02,0:48:08,6,42,Success,
Machine Learning Extracted Event,He gets up and puts on a t-shirt.,0:48:05,0:48:10,5,33,Success,
Machine Learning Extracted Event,He wanders slowly to open the front door.,0:48:15,0:48:21,6,41,Success,
Machine Learning Extracted Event,"She stares at him expressionlessly,",0:48:25,0:48:31,6,35,Success,
Machine Learning Extracted Event,then rests her head wearily against the door frame.,0:48:27,0:48:33,6,51,Success,
Machine Learning Extracted Event,She moves close to him.,0:49:08,0:49:13,5,23,Success,
Machine Learning Extracted Event,She touches his bruised jaw,0:49:19,0:49:25,6,27,Success,
Machine Learning Extracted Event,She kisses him gently.,0:49:21,0:49:26,5,22,Success,
Machine Learning Extracted Event,She links her arms around SOMEONE's neck and they kiss.,0:49:37,0:49:43,6,55,Success,
Machine Learning Extracted Event,They're lying in bed in their pajamas.,0:50:04,0:50:10,6,38,Fail,
Machine Learning Extracted Event,SOMEONE has a large bulge in the crotch of his leather trousers.,0:50:53,0:50:59,6,64,Fail,
Machine Learning Extracted Event,She slumps back down on the bed.,0:51:07,0:51:13,6,32,Fail,
Machine Learning Extracted Event,SOMEONE gently nudges his shoulder with her head.,0:51:30,0:51:36,6,49,Fail,
Machine Learning Extracted Event,They're sitting on a blanket in the park.,0:52:13,0:52:19,6,41,Fail,
Machine Learning Extracted Event,Day 266 flips back to day 191. SOMEONE and SOMEONE are at an art gallery. There's a picture of two dogs copulating. They're standing in front of huge prints of intertwined tubes.,0:52:24,0:52:37,13,178,Fail,
Machine Learning Extracted Event,They stare in bafflement at a coiled poo.,0:52:48,0:52:55,7,41,Fail,
Machine Learning Extracted Event,"The sign outside the cinema proclaims, part vampire, part giant.",0:52:56,0:53:02,6,64,Fail,
Machine Learning Extracted Event,They smile and eat popcorn in the theater,0:53:02,0:53:08,6,41,Fail,
Machine Learning Extracted Event,as others laugh and cringe in equal measure.,0:53:04,0:53:10,6,44,Fail,
Machine Learning Extracted Event,Day 191 fast forwards to day 314,0:53:08,0:53:15,7,32,Fail,
Machine Learning Extracted Event,and SOMEONE's sitting alone in the cinema.,0:53:12,0:53:18,6,42,Fail,
Machine Learning Extracted Event,The film is black and white and the star is SOMEONE.,0:53:19,0:53:25,6,52,Success,
Machine Learning Extracted Event,"Subtitles read, ""He is broken, more than broken, he is alone"".",0:53:22,0:53:27,5,62,Success,
Machine Learning Extracted Event,The SOMEONE character's carrying a balloon.,0:53:32,0:53:37,5,43,Success,
Machine Learning Extracted Event,He turns around to face a mime in a top hat,0:53:34,0:53:40,6,43,Success,
Machine Learning Extracted Event,and hands him the balloon.,0:53:37,0:53:42,5,26,Success,
Machine Learning Extracted Event,The mime smiles happily,0:53:43,0:53:48,5,23,Success,
Machine Learning Extracted Event,and lets the balloon go.,0:53:45,0:53:50,5,24,Success,
Machine Learning Extracted Event,It floats up into the air.,0:53:46,0:53:51,5,26,Success,
Machine Learning Extracted Event,The mime eyeballs SOMEONE and then slaps him.,0:53:53,0:53:59,6,45,Success,
Machine Learning Extracted Event,A crusader SOMEONE plays chess with a little winged angel by a rocky shore.,0:54:08,0:54:16,8,75,Success,
Machine Learning Extracted Event,The child angel moves.,0:54:17,0:54:22,5,22,Success,
Machine Learning Extracted Event,Crusader SOMEONE buries his face in his hands. The word "fin" appears on the black screen.,0:54:25,0:54:33,8,90,Fail,
Machine Learning Extracted Event,"SOMEONE wakes up in the cinema. Looks around, then gets up.",0:54:30,0:54:36,6,59,Fail,
Machine Learning Extracted Event,Day 314 jumps to day 321.,0:54:36,0:54:42,6,25,Fail,
Machine Learning Extracted Event,The new assistant approaches SOMEONE's workstation.,0:54:41,0:54:47,6,51,Fail,
Machine Learning Extracted Event,SOMEONE's head sags.,0:55:23,0:55:29,6,20,Fail,
Machine Learning Extracted Event,Vance shows SOMEONE a selection of greetings cards.,0:56:11,0:56:17,6,51,Success,
Machine Learning Extracted Event,He dismisses SOMEONE with a friendly smile.,0:56:28,0:56:34,6,43,Success,
Machine Learning Extracted Event,SOMEONE picks up the cards and trudges slowly out of the office.,0:56:35,0:56:42,7,64,Fail,
Machine Learning Extracted Event,On the assistant's desk he spots a card with "I love us".,0:56:39,0:56:44,5,57,Fail,
Machine Learning Extracted Event,He scowls.,0:56:45,0:56:49,4,10,Fail,
Machine Learning Extracted Event,Day 321 rolls back to day 167. SOMEONE strides into the office.,0:56:46,0:56:55,9,63,Fail,
Machine Learning Extracted Event,SOMEONE spots SOMEONE across the office.,0:57:30,0:57:35,5,40,Fail,
Machine Learning Extracted Event,She smiles at him.,0:57:32,0:57:37,5,18,Fail,
Machine Learning Extracted Event,Fast forward to day 322.,0:57:37,0:57:43,6,24,Fail,
Machine Learning Extracted Event,SOMEONE yells on a bus which lurches to a halt.,0:58:01,0:58:07,6,47,Fail,
Machine Learning Extracted Event,"SOMEONE remembers the cinema, Ikea, and the record store.",0:59:19,0:59:25,6,57,Success,
Machine Learning Extracted Event,"SOMEONE stares at auburn haired SOMEONE, then grins tipsily.",0:59:57,1:00:04,7,60,Success,
Machine Learning Extracted Event,"SOMEONE, completely fed up, sits in a booth as SOMEONE lurches through his karaoke performance.",1:00:09,1:00:17,8,95,Success,
Machine Learning Extracted Event,SOMEONE leaves.,1:00:17,1:00:22,5,15,Success,
Machine Learning Extracted Event,Day 402.,1:00:25,1:00:30,5,8,Fail,
Machine Learning Extracted Event,"SOMEONE, toting a suit carrier, boards a train.",1:00:33,1:00:39,6,47,Fail,
Machine Learning Extracted Event,He calls Mackenzie on his mobile.,1:00:39,1:00:45,6,33,Fail,
Machine Learning Extracted Event,SOMEONE continues glumly down the train.,1:01:06,1:01:12,6,40,Fail,
Machine Learning Extracted Event,He scans left and right looking for a space,1:01:15,1:01:21,6,43,Fail,
Machine Learning Extracted Event,and walks right past SOMEONE.,1:01:17,1:01:23,6,29,Fail,
Machine Learning Extracted Event,He chucks his suit carrier into the luggage rack,1:01:20,1:01:26,6,48,Success,
Machine Learning Extracted Event,and flops down into a seat further down the carriage.,1:01:22,1:01:29,7,53,Success,
Machine Learning Extracted Event,He peers round behind him.,1:01:30,1:01:35,5,26,Success,
Machine Learning Extracted Event,SOMEONE spots him.,1:01:32,1:01:37,5,18,Success,
Machine Learning Extracted Event,He takes out her earphones.,1:01:33,1:01:38,5,27,Success,
Machine Learning Extracted Event,SOMEONE frantically packs away his headphones and opens a book.,1:01:34,1:01:41,7,63,Success,
Machine Learning Extracted Event,SOMEONE gets up and walks down the carriage.,1:01:40,1:01:47,7,44,Success,
Machine Learning Extracted Event,She spots the book and grins.,1:02:29,1:02:34,5,29,Success,
Machine Learning Extracted Event,SOMEONE follows SOMEONE to the buffet car.,1:02:47,1:02:53,6,42,Success,
Machine Learning Extracted Event,"They sit, talking over coffee, with the evening sunlight filtering through the window.",1:02:50,1:02:57,7,86,Success,
Machine Learning Extracted Event,They laugh happily together.,1:02:57,1:03:02,5,28,Success,
Machine Learning Extracted Event,SOMEONE looks into SOMEONE's eyes as he chats away happily.,1:03:06,1:03:12,6,59,Success,
Machine Learning Extracted Event,They get up and leave the buffet car.,1:03:16,1:03:21,5,37,Fail,
Machine Learning Extracted Event,It's a sunny day at SOMEONE's wedding.,1:03:18,1:03:23,5,38,Success,
Machine Learning Extracted Event,"SOMEONE, wearing his suit, spots SOMEONE wearing a knee-length pale dress.",1:03:20,1:03:27,7,74,Success,
Machine Learning Extracted Event,They wave to one another.,1:03:24,1:03:29,5,25,Success,
Machine Learning Extracted Event,They take their seats for the outdoor ceremony.,1:03:36,1:03:42,6,47,Success,
Machine Learning Extracted Event,SOMEONE leans over to SOMEONE.,1:03:38,1:03:44,6,30,Success,
Machine Learning Extracted Event,SOMEONE and her new husband embrace.,1:03:53,1:03:59,6,36,Success,
Machine Learning Extracted Event,The sun sets in a blaze of orange on a hilly shoreline and the wedding guests dance into the night.,1:03:59,1:04:08,9,99,Success,
Machine Learning Extracted Event,SOMEONE's dancing with a young lad.,1:04:04,1:04:09,5,35,Success,
Machine Learning Extracted Event,SOMEONE leaps up and chases the young lad.,1:04:41,1:04:47,6,42,Success,
Machine Learning Extracted Event,The singer sports a massive afro.,1:04:55,1:05:01,6,33,Success,
Machine Learning Extracted Event,SOMEONE throws her bouquet over her head.,1:05:01,1:05:07,6,41,Success,
Machine Learning Extracted Event,SOMEONE catches it and SOMEONE grins.,1:05:03,1:05:08,5,37,Success,
Machine Learning Extracted Event,SOMEONE and SOMEONE down a shot.,1:05:11,1:05:16,5,32,Success,
Machine Learning Extracted Event,"They join the throng of guests for a slow dance, smiling happily at one another.",1:05:22,1:05:30,8,80,Success,
Machine Learning Extracted Event,SOMEONE nods towards the band.,1:05:52,1:05:57,5,30,Success,
Machine Learning Extracted Event,The nighttime dance floor is festooned with bright lights.,1:05:59,1:06:06,7,58,Fail,
Machine Learning Extracted Event,SOMEONE's on the train home.,1:06:02,1:06:08,6,28,Fail,
Machine Learning Extracted Event,He sits thoughtfully.,1:06:04,1:06:09,5,21,Fail,
Machine Learning Extracted Event,SOMEONE asleep on his shoulder.,1:06:06,1:06:12,6,31,Fail,
Machine Learning Extracted Event,He glances down at her with a pensive smile.,1:06:17,1:06:23,6,44,Success,
Machine Learning Extracted Event,SOMEONE speaks on camera in black and white.,1:06:20,1:06:26,6,44,Fail,
Machine Learning Extracted Event,SOMEONE's next in the frame.,1:07:25,1:07:30,5,28,Fail,
Machine Learning Extracted Event,The camera switched off.,1:07:30,1:07:35,5,24,Fail,
Machine Learning Extracted Event,SOMEONE and Susan Trainers rings the bell to a building with a wrought iron entrance.,1:07:34,1:07:41,7,85,Fail,
Machine Learning Extracted Event,"Clutching a present, SOMEONE goes inside.",1:07:43,1:07:49,6,41,Success,
Machine Learning Extracted Event,Expectations appears as a subtitle on a split screen as SOMEONE climbs the stairs.,1:07:58,1:08:06,8,82,Success,
Machine Learning Extracted Event,"On the other side of the screen, reality is the caption as he walks down a corridor.",1:08:02,1:08:09,7,84,Success,
Machine Learning Extracted Event,"In expectations, SOMEONE opens the door, smiles, and kisses SOMEONE on the lips.",1:08:10,1:08:18,8,80,Success,
Machine Learning Extracted Event,"In reality, she opens the door, gives him a friendly hug, and ushers him in.",1:08:24,1:08:31,7,76,Success,
Machine Learning Extracted Event,SOMEONE nods to the gathered guests and gives SOMEONE the gift.,1:08:28,1:08:34,6,63,Success,
Machine Learning Extracted Event,"He acknowledgment was in expectations. In reality, she opens the gift in silence.",1:08:38,1:08:45,7,81,Success,
Machine Learning Extracted Event,"In expectations, she hugs him in thanks for the architecture of happiness, not in reality.",1:08:50,1:08:58,8,90,Success,
Machine Learning Extracted Event,"In reality, they're on opposite sides of a chatting group. In expectations, they're talking together, ignoring everyone else.",1:09:16,1:09:25,9,125,Success,
Machine Learning Extracted Event,"Later in reality, SOMEONE sips a beer alone.",1:09:21,1:09:28,7,44,Success,
Machine Learning Extracted Event,"In expectations, they're together, flirting.",1:09:26,1:09:32,6,44,Success,
Machine Learning Extracted Event,SOMEONE watches glumly as SOMEONE chats to two guys.,1:09:32,1:09:39,7,52,Success,
Machine Learning Extracted Event,SOMEONE and SOMEONE walk indoors together and kiss passionately.,1:09:37,1:09:44,7,64,Success,
Machine Learning Extracted Event,SOMEONE fixes himself another drink.,1:09:42,1:09:47,5,36,Success,
Machine Learning Extracted Event,SOMEONE stares as SOMEONE shows a girlfriend a ring on her left hand.,1:09:50,1:09:57,7,69,Success,
Machine Learning Extracted Event,His jaw sags and his eyes fill with tears as he notices it's a diamond engagement ring.,1:09:59,1:10:07,8,87,Success,
Machine Learning Extracted Event,"He puts down his drink and leaves,",1:10:04,1:10:09,5,34,Fail,
Machine Learning Extracted Event,He is running down the stairs.,1:10:06,1:10:11,5,30,Success,
Machine Learning Extracted Event,"He storms out into the night, striding down the road, fighting back tears as he encounters a couple walking arm in arm.",1:10:16,1:10:26,10,119,Success,
Machine Learning Extracted Event,He walks down the middle of the road.,1:10:28,1:10:33,5,37,Success,
Machine Learning Extracted Event,"The city becomes a grey, black and white drawing",1:10:31,1:10:37,6,48,Success,
Machine Learning Extracted Event,"which is then erased,",1:10:34,1:10:39,5,21,Success,
Machine Learning Extracted Event,just leaving SOMEONE as a black silhouette,1:10:36,1:10:42,6,42,Success,
Machine Learning Extracted Event,standing with his shadow,1:10:39,1:10:44,5,24,Success,
Machine Learning Extracted Event,in the middle of nothing.,1:10:40,1:10:46,6,25,Success,
Machine Learning Extracted Event,The SOMEONE silhouette fades.,1:10:46,1:10:52,6,29,Fail,
Machine Learning Extracted Event,Day 408 jumps forward to day 440.,1:10:50,1:10:57,7,33,Fail,
Machine Learning Extracted Event,It's 7:00 AM. SOMEONE slaps off his alarm.,1:10:54,1:11:00,6,42,Fail,
Machine Learning Extracted Event,"Day 441,",1:10:58,1:11:04,6,8,Fail,
Machine Learning Extracted Event,it's 7:00 AM. SOMEONE slaps off his alarm.,1:11:01,1:11:08,7,42,Fail,
Machine Learning Extracted Event,SOMEONE stares at the alarm clock with an empty Twinkie packet beside it,1:11:06,1:11:13,7,72,Fail,
Machine Learning Extracted Event,then rolls himself up in his bed clothes.,1:11:09,1:11:15,6,41,Fail,
Machine Learning Extracted Event,"Day 441 and a half,",1:11:11,1:11:17,6,19,Fail,
Machine Learning Extracted Event,"SOMEONE buys Blackjack Bourbon, juice, and Twinkies.",1:11:13,1:11:20,7,52,Success,
Machine Learning Extracted Event,He's in his dressing gown.,1:11:16,1:11:21,5,26,Fail,
Machine Learning Extracted Event,He gives a "so what" shrug to the concerned shopkeeper.,1:11:18,1:11:25,7,55,Fail,
Machine Learning Extracted Event,He wanders out of the shop past another happy couple holding hands.,1:11:24,1:11:31,7,67,Fail,
Machine Learning Extracted Event,SOMEONE shuffles off.,1:11:33,1:11:38,5,21,Fail,
Machine Learning Extracted Event,Day 442.,1:11:36,1:11:41,5,8,Fail,
Machine Learning Extracted Event,There's a pile of empty cake packets and an aspirin bottle next to the alarm clock.,1:11:38,1:11:45,7,83,Fail,
Machine Learning Extracted Event,"SOMEONE lies, staring at the ceiling.",1:11:42,1:11:47,5,37,Fail,
Machine Learning Extracted Event,"SOMEONE trudges into the office wearing shades. Mackenzie's on the phone, looks up and notices his friend.",1:11:47,1:11:56,9,106,Success,
Machine Learning Extracted Event,SOMEONE throws the card on the boardroom table.,1:14:05,1:14:11,6,47,Fail,
Machine Learning Extracted Event,His colleagues watch in stunned silence as SOMEONE walks out.,1:14:53,1:15:00,7,61,Success,
Machine Learning Extracted Event,"Mackenzie stops, realizing he's alone in appreciating SOMEONE's performance.",1:15:00,1:15:08,8,76,Fail,
Machine Learning Extracted Event,"SOMEONE exits the lift past a sign that reads, Thank you for 75 years,",1:15:04,1:15:11,7,70,Fail,
Machine Learning Extracted Event,"and walks slowly past the metal sign on the wall which says, ""New Hampshire greetings, greeting the world one card at a time"".",1:15:08,1:15:14,6,126,Fail,
Machine Learning Extracted Event,Day 450.,1:15:14,1:15:19,5,8,Fail,
Machine Learning Extracted Event,"SOMEONE in her football kit, studies her brother.",1:15:32,1:15:38,6,49,Fail,
Machine Learning Extracted Event,He's drawn a girl holding a dagger dripping blood.,1:15:35,1:15:41,6,50,Fail,
Machine Learning Extracted Event,"Brother and sister look at one another, then SOMEONE pats SOMEONE on the shoulder and goes back to her teammates.",1:16:12,1:16:19,7,113,Fail,
Machine Learning Extracted Event,SOMEONE stares into the middle distance and remembers times with SOMEONE walking down the street.,1:16:21,1:16:27,6,97,Success,
Machine Learning Extracted Event,"He remembers her by the photocopiers,",1:16:25,1:16:30,5,37,Success,
Machine Learning Extracted Event,"He remembers holding hands in Ikea, laughing in the car.",1:16:29,1:16:34,5,56,Success,
Machine Learning Extracted Event,"the punch up in the cocktail bar, SOMEONE coming around in the rain to apologize.",1:16:33,1:16:39,6,81,Success,
Machine Learning Extracted Event,"Lying in bed and talking,",1:16:41,1:16:46,5,25,Success,
Machine Learning Extracted Event,and sitting in a restaurant.,1:16:43,1:16:48,5,28,Success,
Machine Learning Extracted Event,"They sit, barely looking at one another.",1:16:58,1:17:04,6,40,Success,
Machine Learning Extracted Event,"SOMEONE and SOMEONE in her wedding dress, sit in the back of the bus in the last scene from The Graduate, which SOMEONE and SOMEONE are watching in the cinema.",1:17:01,1:17:07,6,159,Success,
Machine Learning Extracted Event,"On screen, the characters' excited smiles fade.",1:17:10,1:17:16,6,47,Success,
Machine Learning Extracted Event,SOMEONE stares straight ahead and SOMEONE glances at him.,1:17:21,1:17:26,5,57,Success,
Machine Learning Extracted Event,She's crying.,1:17:23,1:17:28,5,13,Success,
Machine Learning Extracted Event,SOMEONE walks off. SOMEONE follows her.,1:17:43,1:17:49,6,39,Fail,
Machine Learning Extracted Event,Later they're in the music store.,1:17:45,1:17:51,6,33,Fail,
Machine Learning Extracted Event,SOMEONE nods unconvincingly.,1:18:00,1:18:06,6,28,Success,
Machine Learning Extracted Event,SOMEONE finds the Ringo Starr record.,1:18:03,1:18:09,6,37,Success,
Machine Learning Extracted Event,SOMEONE gives a tight smile and walks away from the,1:18:09,1:18:15,6,51,Fail,
Machine Learning Extracted Event,record stand.,1:18:12,1:18:16,4,13,Fail,
Machine Learning Extracted Event,SOMEONE reaches out to take her hand,1:18:13,1:18:18,5,36,Fail,
Machine Learning Extracted Event,but she pulls away.,1:18:15,1:18:19,4,19,Fail,
Machine Learning Extracted Event,"With a disappointed sigh,",1:18:20,1:18:25,5,25,Fail,
Machine Learning Extracted Event,SOMEONE follows SOMEONE out of the shop.,1:18:21,1:18:27,6,40,Fail,
Machine Learning Extracted Event,SOMEONE purses her lips.,1:18:34,1:18:40,6,24,Fail,
Machine Learning Extracted Event,She leans forward and kisses him,1:18:45,1:18:50,5,32,Success,
Machine Learning Extracted Event,on the cheek.,1:18:47,1:18:52,5,13,Fail,
Machine Learning Extracted Event,He processes this for a moment,1:18:49,1:18:54,5,30,Fail,
Machine Learning Extracted Event,then manages a smile.,1:18:51,1:18:56,5,21,Fail,
Machine Learning Extracted Event,Day 450 becomes days 456 to 476.,1:19:01,1:19:09,8,32,Fail,
Machine Learning Extracted Event,SOMEONE's lying on his bed,1:19:06,1:19:11,5,26,Success,
Machine Learning Extracted Event,despondently bouncing a tennis ball on the floor.,1:19:07,1:19:13,6,49,Success,
Machine Learning Extracted Event,SOMEONE bounces the ball in time to the banging.,1:19:21,1:19:27,6,48,Success,
Machine Learning Extracted Event,He tears down all the sketches and notes from his bedroom wall.,1:19:24,1:19:30,6,63,Success,
Machine Learning Extracted Event,He stands back examining the clean wall and the piles of paper on the floor.,1:19:35,1:19:43,8,76,Success,
Machine Learning Extracted Event,SOMEONE sits in an easy chair in a coffee lounge reading a book.,1:19:40,1:19:46,6,64,Success,
Machine Learning Extracted Event,There's a pile of books on architecture on the coffee table in front of him.,1:19:43,1:19:50,7,76,Success,
Machine Learning Extracted Event,He is wearing a suit,1:19:48,1:19:52,4,20,Success,
Machine Learning Extracted Event,and carrying a portfolio.,1:19:49,1:19:54,5,25,Success,
Machine Learning Extracted Event,SOMEONE talks to the security guard on the desk who takes the portfolio from him.,1:19:55,1:20:03,8,81,Success,
Machine Learning Extracted Event,SOMEONE despondently ends a call on his mobile.,1:20:01,1:20:08,7,47,Success,
Machine Learning Extracted Event,He's chalked architectural firms names on his wall.,1:20:04,1:20:11,7,51,Success,
Machine Learning Extracted Event,There are lines through many of them.,1:20:07,1:20:12,5,37,Success,
Machine Learning Extracted Event,He chalks lines through four more.,1:20:09,1:20:14,5,34,Success,
Machine Learning Extracted Event,"Using chalks and a long ruler,",1:20:14,1:20:20,6,30,Success,
Machine Learning Extracted Event,SOMEONE creates a design on the dark bedroom wall.,1:20:16,1:20:23,7,50,Success,
Machine Learning Extracted Event,He carefully rules lines and shades in areas of the design.,1:20:22,1:20:30,8,59,Success,
Machine Learning Extracted Event,"He draws in his sketchbook, looking at the city skyline from a rooftop.",1:20:30,1:20:37,7,71,Success,
Machine Learning Extracted Event,"At night, the skyline shimmers with lights.",1:20:33,1:20:39,6,43,Success,
Machine Learning Extracted Event,Nighttime traffic is a blur of speeded up light.,1:20:38,1:20:44,6,48,Success,
Machine Learning Extracted Event,SOMEONE copies a city design onto the bedroom drawing. Nighttime traffic continues to blur through the city at super speed.,1:20:43,1:20:52,9,123,Success,
Machine Learning Extracted Event,SOMEONE stands back and appraises the complex skyline,1:20:52,1:20:58,6,53,Fail,
Machine Learning Extracted Event,which is his bedroom artwork.,1:20:54,1:21:00,6,29,Fail,
Machine Learning Extracted Event,SOMEONE's being fitted for a wedding dress.,1:20:57,1:21:03,6,43,Fail,
Machine Learning Extracted Event,The chiffon veil is lowered over SOMEONE's face.,1:21:01,1:21:07,6,48,Fail,
Machine Learning Extracted Event,SOMEONE travels on a bus.,1:21:04,1:21:09,5,25,Fail,
Machine Learning Extracted Event,"As SOMEONE sits gloomily on the bus,",1:21:09,1:21:16,7,36,Fail,
Machine Learning Extracted Event,SOMEONE smiles under her veil.,1:21:12,1:21:18,6,30,Fail,
Machine Learning Extracted Event,It's lifted from her face,1:21:15,1:21:20,5,25,Fail,
Machine Learning Extracted Event,and she kisses her new husband.,1:21:18,1:21:23,5,31,Fail,
Machine Learning Extracted Event,SOMEONE stares blankly on the bus.,1:21:22,1:21:28,6,34,Fail,
Machine Learning Extracted Event,Day 488.,1:21:28,1:21:35,7,8,Fail,
Machine Learning Extracted Event,"SOMEONE wearing his suit, reaches pavement level on an escalator.",1:21:37,1:21:43,6,65,Fail,
Machine Learning Extracted Event,He stares expressionlessly out across a leafy park.,1:21:42,1:21:46,4,51,Fail,
Machine Learning Extracted Event,he sits on his favorite bench.,1:21:49,1:21:54,5,30,Success,
Machine Learning Extracted Event,He sits up.,1:21:51,1:21:57,6,11,Success,
Machine Learning Extracted Event,SOMEONE's sitting on a bench a short distance away,1:21:53,1:21:59,6,50,Success,
Machine Learning Extracted Event,wearing a dark skirt and a raincoat.,1:21:59,1:22:04,5,36,Success,
Machine Learning Extracted Event,she strolls down towards him.,1:23:10,1:23:16,6,29,Fail,
Machine Learning Extracted Event,"They sit awkwardly, side by side.",1:23:12,1:23:17,5,33,Fail,
Machine Learning Extracted Event,"Becoming serious, he stares at her.",1:23:40,1:23:45,5,35,Fail,
Machine Learning Extracted Event,She smiles and looks away.,1:24:23,1:24:28,5,26,Fail,
Machine Learning Extracted Event,"Hurt, he looks away from her.",1:24:24,1:24:29,5,29,Fail,
Machine Learning Extracted Event,She self-consciously brushes her hair away from her face.,1:25:56,1:26:03,7,57,Fail,
Machine Learning Extracted Event,They sit together looking out at the city.,1:26:13,1:26:19,6,42,Fail,
Machine Learning Extracted Event,She places her hand on his,1:26:16,1:26:21,5,26,Fail,
Machine Learning Extracted Event,with a pained expression.,1:26:18,1:26:23,5,25,Fail,
Machine Learning Extracted Event,He looks down at her diamond ring,1:26:20,1:26:25,5,33,Fail,
Machine Learning Extracted Event,He studies her face.,1:26:22,1:26:27,5,20,Fail,
Machine Learning Extracted Event,She gives his hand a squeeze.,1:26:24,1:26:29,5,29,Fail,
Machine Learning Extracted Event,She gives him a pat on the back,1:26:35,1:26:41,6,31,Fail,
Machine Learning Extracted Event,She walks off.,1:26:37,1:26:42,5,14,Fail,
Machine Learning Extracted Event,"She smiles sweetly at him,",1:26:50,1:26:55,5,26,Fail,
Machine Learning Extracted Event,She goes.,1:26:54,1:26:59,5,9,Fail,
Machine Learning Extracted Event,"SOMEONE stands, looking at the skyline",1:27:00,1:27:05,5,38,Fail,
Machine Learning Extracted Event,then sits back down on the bench.,1:27:02,1:27:08,6,33,Fail,
Machine Learning Extracted Event,Day 500.,1:27:09,1:27:14,5,8,Fail,
Machine Learning Extracted Event,SOMEONE walks on a tiled floor through a large airy old office building,1:27:11,1:27:18,7,71,Fail,
Machine Learning Extracted Event,SOMEONE takes a seat on a balustraded balcony area.,1:27:42,1:27:48,6,51,Success,
Machine Learning Extracted Event,"A young woman is on a sofa also, waiting.",1:27:45,1:27:50,5,41,Success,
Machine Learning Extracted Event,She has long dark hair.,1:27:47,1:27:52,5,23,Success,
Machine Learning Extracted Event,"They notice each other,",1:27:49,1:27:53,4,23,Success,
Machine Learning Extracted Event,They don't acknowledge one another.,1:27:50,1:27:55,5,35,Success,
Machine Learning Extracted Event,SOMEONE walks off She smiles to herself.,1:30:04,1:30:09,5,40,Success,
Machine Learning Extracted Event,SOMEONE stares at her.,1:30:23,1:30:28,5,22,Fail,
Machine Learning Extracted Event,She looks right at the camera with a twinkle in his eye.,1:30:25,1:30:31,6,56,Fail,
Machine Learning Extracted Event,Day 500 becomes day 1.,1:30:28,1:30:34,6,22,Success,
Machine Learning Extracted Event,The sun shines on the line drawing city.,1:30:30,1:30:36,6,40,Success,
Machine Learning Extracted Event,Blossoms bloom on the tree and birds fly in the sky.,1:30:33,1:30:40,7,52,Fail,
Machine Learning Extracted Event,Two little birds hop on the ground towards one another.,1:30:36,1:30:42,6,55,Fail,
